지역,인구,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05
중구,"134,635",0,0,5,1,3,3,8,30,8,7,43,173,75,88,81,64,67
종로구,"158,996",3,8,4,1,3,3,6,37,23,7,31,278,111,44,62,66,56
용산구,"244,645",0,0,12,6,20,12,4,48,21,21,83,191,107,237,129,111,109
금천구,"247,835",0,1,11,0,3,17,7,34,20,5,27,197,76,69,26,84,116
성동구,"300,505",0,3,3,13,21,9,8,33,30,18,82,229,137,119,145,184,136
강북구,"311,569",0,0,5,0,9,10,4,85,31,15,41,243,176,124,125,133,205
서대문구,"322,952",0,4,9,6,8,8,6,52,34,10,123,252,145,98,68,99,119
도봉구,"327,361",0,0,6,3,10,43,2,73,69,22,91,250,172,140,112,178,185
동대문구,"357,014",0,1,25,5,3,4,6,74,34,24,127,330,235,161,115,261,203
광진구,"360,109",0,1,5,2,6,3,5,74,34,11,43,279,119,155,253,238,181
마포구,"381,858",1,0,16,7,3,12,14,79,30,26,103,404,153,100,105,172,117
중랑구,"399,562",1,0,12,3,3,14,11,103,41,24,85,508,202,167,198,334,208
동작구,"401,572",0,1,23,7,9,13,17,110,57,28,126,419,199,156,174,276,180
영등포구,"407,367",0,1,18,4,11,29,7,67,53,18,95,391,184,181,119,210,205
서초구,"429,025",0,4,21,13,4,15,7,79,52,39,239,353,143,108,162,360,211
구로구,"432,488",0,1,33,1,6,45,5,60,32,22,72,345,180,237,128,142,149
성북구,"447,056",1,1,13,9,5,4,9,244,48,17,114,348,207,209,137,207,211
양천구,"457,781",0,1,17,3,7,42,1,78,31,13,119,413,224,140,118,174,131
강동구,"463,998",0,4,6,3,11,11,14,94,42,19,74,301,180,163,252,253,266
은평구,"484,043",0,7,14,7,7,18,11,122,62,19,92,425,190,163,227,339,195
관악구,"509,803",0,4,30,9,16,58,27,106,135,86,74,473,163,182,129,313,202
노원구,"527,032",0,8,12,3,8,13,6,192,60,33,144,335,217,186,211,259,276
강남구,"544,055",0,7,34,23,11,8,15,88,84,87,156,421,226,118,241,428,413
강서구,"585,901",1,1,20,4,19,33,25,117,65,22,305,729,213,96,133,217,155
송파구,"673,926",0,12,15,10,11,7,44,161,79,61,210,508,242,209,208,382,340
합계,"9,911,088",7,70,369,143,217,434,269,2240,1175,654,2699,8795,4276,3650,3658,5484,4636